chr1	939840	943227	Peak_3100	371	.	4.98343	16.79253	12.95011	1096
chr1	957466	958789	Peak_21433	186	.	3.04234	9.28000	6.48413	1102
chr1	965820	966670	Peak_4980	324	.	4.25158	14.87683	11.31036	593
chr1	967165	967906	Peak_13202	233	.	4.01133	11.10580	8.04792	262
chr1	976264	976624	Peak_23380	184	.	3.64679	9.18052	6.41664	134
chr1	998335	1000680	Peak_3111	371	.	4.98343	16.79253	12.95011	1072
chr1	1001047	1002216	Peak_144740	29	.	1.84592	2.88318	1.20908	93
chr1	1013704	1014570	Peak_45335	127	.	2.90840	6.83571	4.42368	162
chr1	1020295	1021966	Peak_10346	255	.	3.42252	12.01866	8.84764	1097
chr1	1023388	1024765	Peak_6281	299	.	4.49738	13.85511	10.41291	1148
chr1	1024907	1025813	Peak_42789	132	.	2.96657	7.02967	4.58893	615
chr1	1032456	1033061	Peak_22882	184	.	3.64679	9.18052	6.41664	395
chr1	1068237	1070265	Peak_7541	282	.	4.37587	13.14936	9.80414	1575
chr1	1079324	1080645	Peak_907	489	.	5.71251	21.51255	17.04223	435
chr1	1123827	1125412	Peak_12896	233	.	4.01133	11.10580	8.04792	878
chr1	1125490	1126252	Peak_22889	184	.	3.64679	9.18052	6.41664	496
chr1	1134241	1135265	Peak_64905	100	.	2.91772	5.73305	3.50157	116
chr1	1135434	1136625	Peak_11391	248	.	4.02888	11.73297	8.61562	195
chr1	1137534	1138224	Peak_32189	154	.	3.40377	7.96829	5.38142	223
chr1	1142780	1143482	Peak_103678	66	.	2.33744	4.32837	2.34890	512
chr1	1144169	1145691	Peak_4344	336	.	4.74041	15.30153	11.66105	971
chr1	1149355	1150118	Peak_76579	88	.	2.79621	5.21712	3.07086	573
chr1	1157780	1159385	Peak_365	577	.	6.14977	25.11022	20.17880	889
chr1	1165318	1166210	Peak_54260	113	.	3.03923	6.26677	3.94431	762
chr1	1166564	1167066	Peak_15391	216	.	3.88982	10.45037	7.48468	273
chr1	1229493	1230949	Peak_4347	336	.	4.74041	15.30153	11.66105	1095
chr1	1270032	1273103	Peak_5127	319	.	4.04480	14.65915	11.10999	2478
chr1	1281931	1282624	Peak_22899	184	.	3.64679	9.18052	6.41664	177
chr1	1303969	1307326	Peak_377	570	.	6.19856	24.84753	19.93272	1903
chr1	1309159	1310146	Peak_11662	245	.	3.69721	11.66333	8.55781	339
chr1	1317505	1319320	Peak_8960	265	.	4.25436	12.45566	9.20466	521
chr1	1325331	1326769	Peak_2381	395	.	4.66095	17.71626	13.75557	525
chr1	1344378	1348630	Peak_2697	385	.	4.83381	17.33595	13.44475	3116
