Peak_50412	778191
Peak_78124	818341
Peak_63013	904525
Peak_30670	905874
Peak_50179	911376
Peak_9858	926240
Peak_1117	943517
Peak_12072	960390
Peak_29997	961845
Peak_3409	966816
Peak_24076	976631
Peak_11899	1000104
Peak_48265	1001906
Peak_59396	1013029
Peak_5531	1015097
Peak_65656	1019421
Peak_24012	1021721
Peak_629	1040862
Peak_16810	1115805
Peak_39576	1122911
Peak_6172	1159199
Peak_17376	1209019
Peak_1741	1231136
Peak_12640	1233494
Peak_88108	1265559
Peak_884	1273156
Peak_9627	1275136
Peak_762	1307403
Peak_2792	1310570
Peak_63813	1315700
Peak_24240	1316598
Peak_4418	1319559
Peak_6805	1322577
Peak_150	1326249
Peak_1701	1348761
Peak_38248	1352168
Peak_3635	1357163
Peak_29989	1362109
Peak_14160	1372885
Peak_549	1374677
Peak_102567	1376206
Peak_3378	1398689
Peak_14598	1400924
Peak_155230	1405492
Peak_2811	1406754
Peak_12883	1409565
Peak_75326	1420124
Peak_14355	1421706
Peak_1047	1435524
Peak_13409	1437581
Peak_9929	1442392
Peak_63818	1505433
Peak_37984	1511385
Peak_13836	1539778
Peak_8823	1541483
Peak_38251	1573913
Peak_90886	1575987
Peak_4505	1615064
Peak_7690	1617719
Peak_23523	1631054
Peak_33643	1632474
Peak_72015	1658238
Peak_69034	1678968
Peak_50378	1687015
Peak_34657	1741541
Peak_37690	1777861
Peak_16160	1779593
Peak_1041	1783865
Peak_7950	1848887
Peak_5138	1861049
Peak_44413	1889737
Peak_13631	1893019
Peak_49166	1895437
Peak_6717	1908810
Peak_30658	1910256
Peak_160	1919230
Peak_74709	2050687
Peak_6618	2133075
Peak_30885	2136131
Peak_3714	2193295
Peak_26976	2194409
Peak_5712	2196379
Peak_16431	2199379
Peak_33032	2200944
Peak_9265	2204671
Peak_6256	2206432
Peak_2177	2209292
Peak_43	2215390
Peak_10247	2227130
Peak_25625	2230448
Peak_215	2243694
Peak_1031	2253378
Peak_46409	2255763
