ENSG00000188976.10	959309	16082
ENSG00000188976.10	959309	520
ENSG00000187583.10	966496	174
ENSG00000187583.10	966496	1410
ENSG00000187642.9	982093	5469
ENSG00000187608.8	1001137	457
ENSG00000187608.8	1001137	1079
ENSG00000188157.13	1020122	5552
ENSG00000188157.13	1020122	1844
ENSG00000188157.13	1020122	4643
ENSG00000188157.13	1020122	5691
ENSG00000188157.13	1020122	12939
ENSG00000237330.2	1074307	4042
ENSG00000237330.2	1074307	6338
ENSG00000131591.17	1116361	9051
ENSG00000131591.17	1116361	9891
ENSG00000131591.17	1116361	18904
ENSG00000131591.17	1116361	20264
ENSG00000131591.17	1116361	21863
ENSG00000131591.17	1116361	27121
ENSG00000162571.13	1173883	28192
ENSG00000162571.13	1173883	23765
ENSG00000162571.13	1173883	14498
ENSG00000162571.13	1173883	7673
ENSG00000162571.13	1173883	6817
ENSG00000078808.16	1232031	1082
ENSG00000160087.20	1273885	782
ENSG00000162572.19	1280435	2189
ENSG00000169972.11	1308566	1240
ENSG00000131584.18	1309609	537
ENSG00000127054.18	1324691	5371
ENSG00000224051.6	1324755	2014
ENSG00000107404.17	1349350	720
ENSG00000107404.17	1349350	2568
ENSG00000162576.16	1361777	4545
ENSG00000162576.16	1361777	2277
ENSG00000175756.13	1375495	820
ENSG00000175756.13	1375495	896
ENSG00000221978.11	1399328	699
ENSG00000221978.11	1399328	1921
ENSG00000242485.5	1407313	626
ENSG00000242485.5	1407313	2054
ENSG00000235098.8	1421769	1728
ENSG00000235098.8	1421769	123
ENSG00000235098.8	1421769	1297
ENSG00000179403.11	1434860	4010
ENSG00000197785.13	1512150	5961
ENSG00000205090.8	1540453	571
ENSG00000205090.8	1540453	674
ENSG00000160075.11	1574869	932
ENSG00000160075.11	1574869	1146
ENSG00000197530.12	1615414	553
ENSG00000197530.12	1615414	2109
ENSG00000189409.12	1632094	320
ENSG00000189339.11	1692728	13187
ENSG00000189339.11	1692728	11065
ENSG00000189339.11	1692728	5475
ENSG00000215790.6	1745992	12636
ENSG00000215790.6	1745992	14175
ENSG00000008130.15	1780457	2764
ENSG00000008130.15	1780457	3407
ENSG00000078369.17	1891117	42760
ENSG00000078369.17	1891117	37199
ENSG00000078369.17	1891117	36713
ENSG00000078369.17	1891117	30188
ENSG00000078369.17	1891117	8299
ENSG00000078369.17	1891117	7268
ENSG00000078369.17	1891117	1359
ENSG00000078369.17	1891117	1825
ENSG00000169885.9	1914826	6128
ENSG00000169885.9	1914826	4625
ENSG00000178821.12	1919273	156
ENSG00000162585.16	2212720	79702
ENSG00000162585.16	2212720	78580
ENSG00000162585.16	2212720	76461
ENSG00000162585.16	2212720	22153
ENSG00000162585.16	2212720	21218
ENSG00000162585.16	2212720	18382
ENSG00000162585.16	2212720	16372
ENSG00000162585.16	2212720	13340
ENSG00000162585.16	2212720	11451
